"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QXXI76F7","book","2019","DeCaro, Frank","Drag: combing through the big wigs of show business / by Frank DeCaro","","978-0-8478-6235-1","","","","","2019","2025-03-21 20:25:21","2025-03-21 20:25:21","","","256","","","","","Drag","","","","","Rizzoli International Publications, Inc","New York, NY","","","","","","Library Catalog (Blacklight)","HQ77 .D43 2019","OCLC: 1047621363","","","https://catalog.libraries.psu.edu/catalog/26777027","","History; Comedy films; Female impersonators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7757I6AQ","book","1977","Lloyd, Robin","For money or love: boy prostitution in America","","","","","","","1977","2025-03-21 20:25:12","2025-03-21 20:25:12","","","222","","","","","For money or love","","","","","Ballantine Books","New York","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/111069","physical","Prostitution; Boys; Homosexuality; Sexual activities; United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQBXVD4I","book","2005","Kailey, Matt","Just add hormones: an insider's guide to the transsexual experience","","978-0-8070-7958-4 978-0-8070-7959-1","","","","","2005","2025-03-21 20:25:02","2025-03-21 20:25:02","","","171","","","","","Just add hormones","","","","","Beacon Press","Boston","","","","","","Library Catalog (Blacklight)","HQ77.8.K34 A3 2005","OCLC: 56214172","","","https://catalog.libraries.psu.edu/catalog/2844064","physical","Biography; Transsexuals; United States; Female-to-male transsexuals; Kailey, Matt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"728K5DK7","book","2007","Kennedy, Pagan","The first man-made man: the story of two sex changes, one love affair, and a twentieth-century medical revolution","","978-1-59691-015-7","","","","In the 1920s when Laura Dillon felt like a man trapped in a woman's body, there were no words to describe her condition; ""transsexuals"" had yet to enter common usage. And there was no known solution to being stuck between the sexes. Laura Dillon did all she could on her own: she cut her hair, dressed in men's clothing, bound her breasts with a belt. But in a desperate bid to feel comfortable in her own skin, she experimented with breakthrough technologies that ultimately transformed the human body and revolutionized medicine. From upper-class orphan girl to Oxford lesbian, from post-surgery romance with Roberta Cowell (an early male-to-female) to self-imposed exile in India, Michael Dillon's incredible story reveals the struggles of early transsexuals and challenges conventional notions of what gender really means. Also includes information on Roberta Cowell, Christine Jorgensen, Institute for Sexual Science (Berlin), estrogen, testosterone, etc","2007","2025-03-21 20:24:55","2025-03-21 20:24:55","","","214","","","","","The first man-made man","","","","","Bloomsbury","New York, NY","","","","","","Library Catalog (Blacklight)","HQ77.8.D55 K46 2007","","","","https://catalog.libraries.psu.edu/catalog/3659182","physical","Biography; Dillon, Michael; Gender identity; Gender reassignment surgery; Gender transition; Great Britain; Transsexuals","","","","","","","","","","","","","","","","","","","","1st U.S. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQGJRNF5","book","2009","Malarek, Victor","The Johns: sex for sale and the men who buy it","","978-1-55970-890-6 978-1-61145-012-5","","","","Presents a critical indictment of the men who solicit sex services from unwilling prostitutes, in an exposé that identifies the customers and organizations that foster and drive the sex trade throughout the world","2009","2025-03-21 20:24:47","2025-03-21 20:24:47","","","310","","","","","The Johns","","","","","Arcade Pub","New York","","","","","","Library Catalog (Blacklight)","HQ117 .M25 2009","OCLC: 225870298","","","https://catalog.libraries.psu.edu/catalog/23789857","physical","Prostitution; Barn; brott mot; Brott mot kvinnor; Child prostitution; Children; Corrupt practices; Crimes against; Male offenders; Män; Sex industry; Sex offenders; Sexualbrottslingar; sexualvanor; Women","","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TDPVUNQH","book","2006","Ekins, Richard; King, Dave","The transgender phenomenon","","978-0-7619-7163-4 978-0-7619-7164-1","","","","","2006","2025-03-21 20:24:40","2025-03-21 20:24:40","","","263","","","","","","","","","","SAGE","London ; Thousand Oaks, Calif","","","","","","Library Catalog (Blacklight)","HQ77.9 .E55 2006","","","","https://catalog.libraries.psu.edu/catalog/3626011","physical","Transsexualism; Sex role","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAU87QNQ","book","2008","Girshick, Lori B.","Transgender voices: beyond women and men","","978-1-58465-645-6 978-1-58465-683-8","","","","""In this book, sociologist and social justice activist Lori Girshick brings together the voices of 150 sex- and gender-diverse people who speak with absolute courage and candor about their lives. Girshick presents transpeople speaking in their own voices about gender identity, coming out, ""passing, "" sexual orientation, relationship negotiations and the dynamics of attraction, homophobia, and bullying. She exposes the guilt and the shame that ""gender police"" use in their attempts to exert control and points out the many ways transpeople are discriminated against in daily life - from filling out identification documents to gender-segregated bathrooms."" ""By showing us a variety of diverse, real lives and providing a thorough exploration of the embodied experiences of gender variant people, Girshick demonstrates that there is nothing inherently binary about gender - and that the way each of us experiences our own gender is, in fact, normal and natural.""--BOOK JACKET","2008","2025-03-21 20:24:33","2025-03-21 20:24:33","","","213","","","","","Transgender voices","","","","","University Press of New England","Hanover","","","","","","Library Catalog (Blacklight)","HQ77.7 .G57 2008","OCLC: 183162406","","","https://catalog.libraries.psu.edu/catalog/4446670","physical","Transgender people; Gender nonconformity; Interviews","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUJJAZWA","book","1996","Feinberg, Leslie","Transgender warriors: making history from Joan of Arc to RuPaul","","978-0-8070-7940-9","","","","","1996","2025-03-21 20:24:26","2025-03-21 20:24:26","","","212","","","","","Transgender warriors","","","","","Beacon Press","Boston","","","","","","Library Catalog (Blacklight)","HQ77.9 .F45 1996","","","","https://catalog.libraries.psu.edu/catalog/1590670","physical","Gender identity; Cross-dressing; History; Transsexualism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8T89RMN","book","2011","Bono, Chaz; Fitzpatrick, Billie","Transition: the story of how I became a man","","978-0-525-95214-5","","","","At first, America knew the only child of Sonny and Cher as Chastity, the cherubic little girl who appeared on her parents' TV show. Later, she came out on a national stage, working with major organizations toward lesbian, gay, bisexual, and transgender rights. Then, within eighteen months, Chaz Bono became the most high-profile transgender person ever. Part One traces his decision to transition, beginning in his childhood--when he played on the boys' teams and wore boys' clothing whenever possible--and going through his painful, but ultimately joyful, coming out in his twenties, up to 2008, when, after the death of his father, drug addiction, and five years of sobriety, Chaz was finally ready to begin the process. In Part Two, he offers a record of the actual transition, a real-time diary as he navigates uncharted waters. Throughout the book, Chaz touches on themes of identity, gender, and sexuality; parents and children; and how harboring secrets shatters the soul.--From publisher description","2011","2025-03-21 20:24:17","2025-03-21 20:24:17","","","245","","","","","Transition","","","","","Dutton","New York","","","","","","Library Catalog (Blacklight)","HQ77.8.B66 A3 2011","OCLC: 698363139","","","https://catalog.libraries.psu.edu/catalog/7166302","physical","Biography; Gender identity; Transgender people; United States; Female-to-male transsexuals; Bono, Chaz; Psychological aspects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VXA7XSTM","book","1996","Brown, Mildred L.; Rounsley, Chloe Ann","True selves: understanding transsexualism--: for family, friends, coworkers, and helping professionals","","978-0-7879-0271-1","","","","","1996","2025-03-21 20:24:10","2025-03-21 20:24:10","","","271","","","","","True selves","","","","","Jossey-Bass","San Francisco","","","","","","Library Catalog (Blacklight)","HQ77.9 .B76 1996","","","","","physical","Gender reassignment surgery; Gender transition; Transsexuals; Transsexualism; United States","","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
